,sc_1d_fwd_rel_d,mom_1d_fwd_rel_d,value_1d_fwd_rel_d
0,1,1,1
1,1,1,0
2,1,1,1
3,1,0,0
4,0,1,0
5,1,1,0
6,1,1,1
7,0,0,1
8,0,1,0
9,0,0,0
10,0,1,0
11,1,1,0
12,1,1,1
13,1,1,1
14,1,0,0
15,0,0,1
16,1,0,1
17,1,0,0
18,0,0,0
19,1,1,1
20,0,0,1
21,1,1,0
22,1,0,1
23,1,0,1
24,1,1,1
25,0,1,0
26,1,0,1
27,0,0,0
28,1,1,1
29,1,1,0
30,0,1,0
31,1,1,0
32,0,0,0
33,0,1,0
34,1,1,1
35,0,0,0
36,0,0,1
37,0,1,0
38,1,0,0
39,0,0,1
40,1,0,1
41,1,1,1
42,0,0,1
43,1,0,1
44,0,1,1
45,0,1,0
46,1,1,1
47,0,1,0
48,0,1,1
49,1,0,1
50,1,0,1
51,0,1,1
52,0,0,1
53,1,1,1
54,0,1,0
55,1,1,1
56,0,0,0
57,0,0,1
58,0,1,0
59,1,1,1
60,1,0,0
61,0,1,0
62,1,1,1
63,1,1,1
64,0,1,0
65,1,1,0
66,1,0,1
67,1,0,1
68,1,1,0
69,0,0,0
70,1,0,1
71,1,0,1
72,1,1,0
73,1,1,0
74,0,0,0
75,0,1,0
76,1,1,1
77,0,1,0
78,0,0,0
79,1,0,0
80,1,0,0
81,0,0,0
82,0,1,1
83,1,0,0
84,1,0,0
85,0,0,1
86,0,0,0
87,1,1,1
88,0,0,0
89,0,0,1
90,1,0,1
91,0,0,0
92,1,0,0
93,0,0,1
94,1,1,0
95,1,0,0
96,0,0,1
97,0,0,0
98,0,1,0
99,1,1,0
100,1,0,1
101,0,0,1
102,1,0,1
103,1,1,1
104,0,0,1
105,0,0,1
106,1,1,0
107,1,1,1
108,1,0,1
109,0,1,0
110,0,1,1
111,1,0,0
112,0,1,1
113,0,1,1
114,0,1,1
115,1,0,1
116,1,0,0
117,1,1,0
118,0,1,1
119,1,1,0
120,0,1,1
121,0,1,0
122,0,0,1
123,1,0,1
124,0,1,0
125,0,1,1
126,0,1,1
127,0,1,0
128,1,1,0
129,0,0,0
130,1,1,0
131,0,1,0
132,1,1,1
133,0,1,0
134,1,1,1
135,0,0,1
136,0,0,1
137,0,0,1
138,1,1,1
